dropoff_taxizone_id,dropoff_hour,dropoff_weekday,average_fare,total_rides,total_fare,average_trip_distance,total_trip_distance
262.0,1,0,15.670555800617556,4534,71050.3,4.522020291133656,20502.839999999997
262.0,1,1,14.475440658049354,5106,73911.6,4.130601253427341,21090.850000000002
262.0,1,2,13.428572409059711,5828,78261.72,3.732796842827728,21754.739999999998
262.0,1,3,13.791219806763285,7452,102772.17,3.8327509393451433,28561.660000000007
262.0,1,4,14.065613172541743,10780,151627.31,3.9114489795918366,42165.42
262.0,1,5,13.80575926982316,17530,242014.96,3.6959064460924127,64789.24
262.0,1,6,13.27474103009259,20736,275265.02999999997,3.5177449845679014,72943.96
262.0,2,0,13.814728682170543,2580,35642.0,3.9046162790697676,10073.91
262.0,2,1,13.207335613835044,2631,34748.5,3.6759559103002664,9671.44
262.0,2,2,12.897312138728322,3114,40162.229999999996,3.4830057803468204,10846.079999999998
262.0,2,3,12.614609032258064,3875,48881.61,3.4832851612903224,13497.73
262.0,2,4,13.113742552807366,5539,72637.02,3.621267376782813,20058.2
262.0,2,5,13.612699396125794,12751,173575.53,3.6983413065641915,47157.55
262.0,2,6,13.639597387733117,14853,202588.93999999997,3.7171655557799768,55211.06
262.0,3,0,13.678549664838513,1641,22446.5,3.6767276051188307,6033.510000000001
262.0,3,1,13.739285714285714,1484,20389.1,3.6524258760107817,5420.2
262.0,3,2,13.300684039087947,1842,24499.86,3.5620086862106413,6561.220000000001
262.0,3,3,13.10549861495845,2166,28386.510000000002,3.3895337026777472,7341.7300000000005
262.0,3,4,13.382140210006177,3238,43331.37,3.6536874613959234,11830.64
262.0,3,5,13.334285714285713,8841,117888.41999999998,3.661124307205067,32368.0
262.0,3,6,13.534408245904658,10866,147064.88,3.725638689490152,40482.78999999999
262.0,4,0,11.339192221391174,1337,15160.5,3.0239192221391176,4042.9800000000005
262.0,4,1,10.782261268143621,1309,14113.98,2.814041252864782,3683.58
262.0,4,2,11.070830188679246,1325,14668.85,2.962898113207548,3925.8400000000006
262.0,4,3,10.597177006260672,1757,18619.24,2.7883210017074553,4899.079999999999
262.0,4,4,11.355289975144988,2414,27411.670000000002,2.98993371996686,7217.700000000001
262.0,4,5,12.58321995888619,5351,67332.81,3.428482526630537,18345.810000000005
262.0,4,6,13.076753653444674,6706,87692.70999999999,3.5952371011034887,24109.659999999996
262.0,5,0,10.548809352517985,2780,29325.69,2.691561151079137,7482.54
262.0,5,1,11.151679964539008,2256,25158.190000000002,2.9091223404255317,6562.98
262.0,5,2,10.061399863760219,2936,29540.270000000004,2.534390326975477,7440.97
262.0,5,3,10.602248468941381,2286,24236.739999999998,2.691163604549432,6152.000000000001
262.0,5,4,10.854600954979535,2932,31825.689999999995,2.8047646657571614,8223.569999999998
262.0,5,5,12.172800138792505,2882,35082.01,3.276308119361554,9442.32
262.0,5,6,13.0552492211838,2568,33525.88,3.6207671339563867,9298.130000000001
262.0,6,0,11.91711693989071,4575,54520.81,3.0904109289617483,14138.63
262.0,6,1,10.487313198666406,5099,53474.810000000005,2.586089429299862,13186.469999999998
262.0,6,2,10.084862609403624,4913,49546.93,2.435410136372888,11965.17
262.0,6,3,10.33655343663091,5034,52034.21,2.523470401271355,12703.150000000001
262.0,6,4,10.816159488433328,5317,57509.520000000004,2.68347000188076,14268.01
262.0,6,5,13.671950623982639,3686,50394.810000000005,3.7575339120998374,13850.27
262.0,6,6,13.714551321450523,3254,44627.15,3.807092808850645,12388.279999999999
262.0,7,0,9.779465845290082,12824,125411.87000000001,2.1248019338739863,27248.460000000003
262.0,7,1,9.436117579416416,13914,131294.14,1.9226972833117724,26752.41
262.0,7,2,9.372040413661722,14698,137750.25,1.9108742686079738,28086.03
262.0,7,3,9.491669018343076,14883,141264.51,1.951667674527985,29046.670000000002
262.0,7,4,9.564995709287741,15149,144900.12,2.0088375470328077,30431.88
262.0,7,5,10.689694250076057,6574,70274.05,2.6964253118344996,17726.3
262.0,7,6,10.85851586102719,5296,57506.7,2.8236253776435047,14953.92
