dropoff_taxizone_id,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
143.0,10.331319852108438,3849848,39774011.06999996,2.136068834405919,16.75376726872349
144.0,12.473941816420712,2783397,34719932.22999996,2.5076853104318317,15.428876023879262
145.0,17.225401227299688,946957,16311714.27000003,4.286766072799487,15.023098591909324
146.0,16.675338897893454,383139,6388972.67,4.319873283586369,12.036517907073984
147.0,25.921836562254793,33138,858997.8199999994,7.635031987446438,4.191458142264603
148.0,12.657160820186723,3181373,40267149.68999989,2.6371184611172604,15.518706430330983
149.0,40.77485050296769,35887,1463287.0600000015,13.206465015186563,8.298132195260767
150.0,45.46704443471596,18274,830864.7699999994,15.501065995403298,7.611858311772723
151.0,11.285692042275315,2482016,28011268.220000006,2.6400851404664603,15.371022744898328
152.0,14.238823375899646,509636,7256616.989999992,3.664486712084705,11.076420951499875
153.0,31.38414564564563,13320,418036.81999999983,9.960287537537543,8.923174020515612
154.0,41.44597994530538,3291,136398.72,13.927225767244003,5.104643266331304
155.0,41.086222339304584,41756,1715596.3000000021,13.398008669412778,6.734622064029513
156.0,59.23584029979822,3469,205489.13000000003,19.864404727587196,9.273631972676544
157.0,23.101246448970585,99619,2301323.0700000008,6.781355865848886,7.790910768475699
158.0,10.875100794279989,3130634,34045960.29999994,2.2282290967260905,16.890806016892448
159.0,20.470894508175693,93448,1912964.150000002,5.723448441914209,5.08807332162182
160.0,26.25143392393636,88610,2326139.560000001,7.815904186886361,9.665154117274069
161.0,11.396277947390145,11362510,129490322.13999999,2.0966697463852424,15.301558568184713
162.0,11.441781510682494,9161528,104824201.67999996,2.2807184663956535,16.032100304984937
163.0,11.655593526192904,7207938,84012795.48999983,2.2769690943512444,14.929162241781926
164.0,11.909324060745025,6407632,76310565.94999976,2.3288083413654883,15.301791402395281
165.0,38.7341986095162,64438,2495954.2900000047,12.202338216580275,9.146493017983932
166.0,12.423346757279404,2262375,28106269.119999994,2.9956884424554135,14.97597812407597
167.0,25.70900204666394,48860,1256141.84,7.4607785509619315,3.9471707731517314
168.0,17.937265089654037,237580,4261535.440000006,4.9111669332435355,5.979344581117024
169.0,29.29479749559773,56221,1646982.81,9.006917877661365,4.899357676287074
170.0,10.644027582361325,9544433,101591208.10999964,2.017793560916697,16.672528576558467
171.0,31.566311438583877,44516,1405205.92,10.00438404169288,7.935323545370403
172.0,57.91925945106163,3862,223684.18,19.985279647850863,13.594407416539175
173.0,22.487735913879998,87320,1963629.1000000015,6.3627210261108615,3.2529688981136693
174.0,38.431322404094686,39466,1516730.570000001,12.556553489079201,6.756117606429982
175.0,36.77311931385515,24951,917526.0999999997,12.346663059596816,9.261028364827778
176.0,63.159782510194844,2207,139393.64,21.448373357498866,14.402371790440519
177.0,28.080265978623785,65306,1833809.850000005,7.916806725262607,7.303898053122771
178.0,37.12522300906944,24147,896462.7599999998,11.842496376361453,8.829703805951482
179.0,17.744479204002555,407338,7228000.6699999925,4.8351920763591885,12.93141216223251
180.0,28.664349135619084,24237,694737.8299999997,8.380777736518546,6.517121398589089
181.0,26.303323855989056,984453,25894386.079999994,7.228642728499976,16.780647504248876
182.0,34.72374978569159,40829,1417735.9800000018,11.059443532783057,6.060773850214933
183.0,38.27351346091468,15415,589986.2099999997,12.684964644826467,7.66924015210567
184.0,40.0632162373146,2562,102641.96,13.030819672131146,6.474618136486836
185.0,37.36015205901472,35381,1321839.54,12.329491252367095,8.326199418201739
186.0,10.75895112310575,7965768,85703308.56999984,1.915230736069745,15.053827887275576
187.0,59.76779220779221,1848,110450.88,20.43340367965368,9.04413519999759
188.0,28.64359349571736,224283,6424271.079999977,8.121799824329083,11.876529947893134
189.0,24.644440657578187,304268,7498514.67,6.748226431961284,16.613198510782947
190.0,24.598201121869046,54017,1328721.0300000003,6.682066571634856,14.906361366378722
191.0,34.53192359402354,39421,1361282.9600000018,11.18781918266914,4.66177953279825
192.0,27.770237320804704,24903,691562.2199999995,8.672947034493838,7.702054550389567
193.0,10.574741968472518,240552,2543775.330000001,3.4065360088463175,7.781517559937443
194.0,21.064221821007408,43756,921686.0900000001,5.750231739647129,16.09789615021359
195.0,22.81375211944623,121494,2771734.0000000005,6.631264753814999,13.37618886657163
196.0,25.90503822006246,112768,2921259.3500000034,7.676178171112372,9.6029744620023
197.0,28.19903663578379,87319,2462311.680000005,8.269923155327014,5.442875575171273
198.0,25.40044922135777,164774,4185333.6200000052,7.335467246046107,10.877021749786028
199.0,14.627118644067796,59,863.0,3.6252542372881353,15.291578898397242
